category,name,date,text
debate,Savannah Guthrie,2020,"It’s nothing but noise. What? Okay. All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight. And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now. We are about 30 seconds from air, so it’ll be just in time. Mr. President."
debate,Speaker 1,2020,This is an NBC news special presentation of Today with Savannah Guthrie.
debate,Savannah Guthrie,2020,"Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus."
debate,Donald Trump,2020,"I’m feeling great, I don’t know about you. How is everyone feeling?"
debate,Savannah Guthrie,2020,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida."
debate,Donald Trump,2020,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail."
debate,Savannah Guthrie,2020,"With just 19 days to go, the President makes his case."
debate,Donald Trump,2020,My goal is to fight for you and fight for your family.
debate,Speaker 1,2020,"From NBC News, Decision 2020, President Trump Town Hall. Live from the Perez Art Museum in Miami, here’s Savannah Guthrie."
debate,Savannah Guthrie,2020,"Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state."
debate,Savannah Guthrie,2020,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks. And I should say, this audience looks a bit like America, it’s divided. Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided. We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment. But first with all of that ado, welcome, Mr. President, and thank you for being here."
debate,Donald Trump,2020,"That was very well stated, I have to say. Good job."
debate,Savannah Guthrie,2020,"Thank you. We’re glad you’re here, we’re glad you’re well. We send our best to the First Lady and to Barron."
debate,Donald Trump,2020,"Thank you, thank you."
debate,Savannah Guthrie,2020,Do you have any remaining symptoms from COVID?
debate,Donald Trump,2020,"Nothing whatsoever, I’m great, I feel good. I was in North Carolina today and did a big rally with tremendous turnout, and I just feel really good. Florida, Pennsylvania, were- They said, “Let’s go to the hospital.” I said, “That’s okay. I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals. They gave me Regeneron and Remdeceiver both. And all I know is I felt good the following day, I felt really good."
debate,Savannah Guthrie,2020,Did the doctors ever tell you that they saw pneumonia on your lung scans?
debate,Donald Trump,2020,"No, but they said the lungs are a little bit different, a little bit perhaps infected, and-"
debate,Savannah Guthrie,2020,Infected with?
debate,Donald Trump,2020,"I don’t know. I mean, I didn’t do too much asking. I really felt good. I didn’t have much of a problem with the lungs. I did have a little bit of a temperature. Obviously, I felt there was something missing, and then I tested, I tested positive."
debate,Savannah Guthrie,2020,"Well, let’s talk about testing because there’s a little bit of a, I guess, confusion about this. And I think we can clear it up."
debate,Donald Trump,2020,"Yeah, and there shouldn’t be."
debate,Savannah Guthrie,2020,"Your first positive test was Thursday, October 1st, okay? When was your last negative test? When did you last remember having a negative test?"
debate,Donald Trump,2020,"Well, I test quite a bit, and I can tell you that before the debate, which I thought it was a very good debate, and I felt fantastically, I had no problems before."
debate,Savannah Guthrie,2020,Did you test the day of the debate?
debate,Donald Trump,2020,"I don’t know, I don’t even remember. I test all the time. But I can tell you this, after the debate, I guess a day or so, I think it was Thursday evening, maybe even late Thursday evening, I tested positive. That’s when I first found out about it."
debate,Savannah Guthrie,2020,"Well back to the debate, because the debate commission’s rules, it was the honor system."
debate,Donald Trump,2020,Yeah.
debate,Savannah Guthrie,2020,Would be that you would come with a negative test. You say you don’t know if you’ve got a test on the day of the debate?
debate,Donald Trump,2020,"I had no problem. Again, the doctors do it. I don’t ask them. I test all the time. And they-"
debate,Savannah Guthrie,2020,"Did you take a test, though, on the day of the debate?"
debate,Donald Trump,2020,"If you ask as the doctor, they’ll give you a perfect answer. But they take a test and I leave and I go about my business."
debate,Savannah Guthrie,2020,"So you did you take a test on the day of the debate, I guess is the bottom line?"
