category,name,date,text
citations,Lyndon B. Johnson,"June 19, 1968","
CITATION TO ACCOMPANY THE AWARD OF THE PRESIDENTIAL UNIT CITATION TO THE
11TH TACTICAL RECONNAISSANCE SQUADRON
The 11th Tactical Reconnaissance Squadron, Pacific Air Forces, distinguished itself by extraordinary gallantry in connection with military operations against an opposing armed force in Southeast Asia, from 26 July 1966 to 31 March 1967. During this period, the 11th Tactical Reconnaissance Squadron was responsible for providing the major portion of all daylight tactical reconnaissance and all night tactical reconnaissance over North Vietnam. Although operating under extremely difficult and dangerous conditions of an enemy air defense system that was expanding daily and becoming more complex and deadly, aircrews of the 11th Tactical Reconnaissance Squadron accomplished their arduous missions in an outstanding manner. Their exemplary performance contributed significantly to the success of the United States Air Force's tactical reconnaissance program in North Vietnam. The extraordinary heroism and outstanding combat professionalism consistently displayed by the Unit's aircrews were matched by similarly superb efforts from the Squadron's maintenance and support personnel. By their gallantry, professionalism and untiring devotion to duty, personnel of the 11th Tactical Reconnaissance Squadron upheld the highest standards of performance and traditions of the military service and reflected great credit upon themselves and the United States Air Force.
LYNDON B. JOHNSON
"
citations,Lyndon B. Johnson,"June 20, 1968","
BY VIRTUE of the authority vested in me as President of the United States and as Commander-in-Chief of the Armed Forces of the United States I have today awarded
THE PRESIDENTIAL UNIT CITATION (ARMY) FOR EXTRAORDINARY HEROISM
TO 1ST PLATOON, COMPANY B, 1ST BATTALION,
69TH ARMOR UNITED STATES ARMY
The 1st Platoon distinguished itself by extraordinary heroism and outstanding professionalism while serving under the operational control of the 9th Company, 1st Cavalry Regiment, Republic of Korea Army during the defense of Landing Zone Twenty Seven Victor, Pleiku Province, Republic of Vietnam during the night of 9-10 August 1966. About one hour before midnight the sounds of digging outside the defensive perimeter were reported to one of the tank commanders by a Korean officer. The tank commander illuminated the suspicious area with the tank searchlight and reconnoitered it with machine gun fire. This action triggered the first of a series of violent attacks made against the position by a North Vietnamese Army battalion and reinforced by heavy fire from recoilless rifles, mortars, and rockets. During the next six hours, the foe made repeated assaults froth different directions, only to be beaten back by the coordinated fire of the stalwart defenders. Battlefield illumination was augmented by the two available tank searchlights until the latter were destroyed by enemy fire. Despite one fourth of its members being wounded, the 1st Platoon greatly assisted the 9th Company in holding the position under the intense ground attacks. The tenacious defense and subsequent mop-up of the battlefield virtually eliminated the enemy battalion as an effective fighting unit. The heavy losses inflicted upon the numerically superior enemy force attest to the physical courage, determination, and skill of the defenders. The close coordination and mutual cooperation between the Republic of Korea and the United States forces resulted in a fighting team undaunted by the enemy onslaught. This action of the 1st Platoon, Company B, 1st Battalion, 69th Armor is in keeping with the highest traditions of the United States Army.
LYNDON B. JOHNSON
"
citations,Lyndon B. Johnson,"December 16, 1968","
CITATION TO ACCOMPANY THE AWARD OF THE PRESIDENTIAL UNIT CITATION
TO THE
21ST TACTICAL AIR SUPPORT SQUADRON
The 21st Tactical Air Support Squadron, pacific Air Forces, distinguished itself by extraordinary gallantry in connection with military operations against an opposing armed force in Southeast Asia, from 2 February 1966 to 28 February 1967. During this period, the exemplary courage, superb airmanship and dedication to mission accomplishment displayed by the members of the 21st Tactical Air Support Squadron contributed significantly to the success of major military operations, containment or defeat of the enemy, and the saving of countless American and allied lives. The personnel of this Squadron have consistently accomplished their missions by flying their unarmed aircraft at low altitudes and through extremely hostile fire to direct friendly air strikes and provide cover for tactical, resupply, and medical evacuation operations. The extraordinary heroism displayed by this Squadron in carrying out its mission has been unique and noteworthy. By their gallantry and untiring devotion to duty, the personnel of the 21st Tactical Air Support Squadron have reflected the highest credit upon themselves and the United States Air Force.
LYNDON B. JOHNSON
"
citations,Harry S Truman,"January 08, 1946","
CITATION FOR DISTINGUISHED SERVICE MEDAL
(Oak Leaf Cluster)
GENERAL OF THE ARMY Henry H. Arnold, United States Army. For exceptionally meritorious and distinguished service in the performance of duties of great responsibility as Chief of the Air Corps from September 29, 1938 to May 31, 1941, as Deputy Chief of Staff for Air from November 29, 1940 to March 8, 1942, and as Chief of the Army Air Forces from June 20, 1941 to March 8, 1942. He performed the duties required by the office in a superior manner during the most strenuous and trying period in the history of the air arm. During this period, an Air Corps Program of Expansion and Procurement was inaugurated whereby the personnel of the Air Forces was increased in excess of a thousand per cent and the number of aircraft increased proportionately. A program of expansion and procurement of this magnitude demanded comprehensive planning, its execution required outstanding ability, foresight, and leadership, all of which were exhibited by General Arnold in a high degree. He impressed this high quality of leadership, so vitally needed during this period of readjustment and difficulties, on the Air Forces as a whole, thereby maintaining at the highest standard the morale and efficiency of the personnel of the Army Air Forces for the accomplishment of the tasks before them.
HARRY S. TRUMAN
CITATION FOR DISTINGUISHED SERVICE MEDAL
(Oak Leaf Cluster)
AS COMMANDER of the Army Air Forces during World War II, General Henry H. Arnold gave his nation outstanding service. To him fell the mission of building American air power for a global war in which victory or defeat depended on control of the skies. He fulfilled his mission in a manner that overwhelmed this nation's enemies and awed its allies. He welded the civilian productive genius of the aircraft industry, an expert military nucleus and more than 2,000,000 American soldiers to form an indomitable, unprecedented destructive weapon which coordinated with our land and sea forces to obliterate the Axis powers. As a member of the Joint Chiefs of Staff and the United States and British Combined Chiefs of Staff, General Arnold helped shape the strategy and direct the resources of the victorious Allied forces. His wide knowledge of the employment of air power was of great value to the deliberations of the Chiefs of Staff. From concept to execution, General Arnold's leadership guided the mightiest air force in history. No single factor of the great allied victories was more vital than the destruction of the capacity of Germany and Japan to wage modern technological warfare. The long range precision attacks of massed air power which accomplished this objective were the products of his genius. At the same time General Arnold directed the training and equipment of the United States Tactical Air Force so that when the great decisive three-dimensional battles of World War II were joined, his fighters and attack bombers were ready to sweep the skies of the enemy and deny him mobility on the surface. During the growth of the Air Arm, General Arnold constantly increased the effectiveness of its activities by imaginative conceptions concerning the application of air power to strategy and tactics and by the development of potent new weapons. By his personal leadership, his driving spirit, and his professional genius, General Arnold made a great contribution to our war effort.
HARRY S. TRUMAN
"
citations,Dwight D. Eisenhower,"December 28, 1956","
[Text read by Maj. Gen. Herbert M. Jones, Acting The Adjutant General]
THE PRESIDENT of the United States of America, authorized by Act of Congress July 9, 1918, has awarded the Distinguished Service Medal (Second Oak Leaf Cluster) to
GENERAL ALFRED M. GRUENTHER,
UNITED STATES ARMY
for exceptionally meritorious service in a duty of great responsibility:
General Gruenther performed exceptionally meritorious and distinguished service to the Government of the United States while serving in positions of great responsibility during the period 10 December 1950 to 31 December 1956. As Chief of Staff of the SHAPE Advance Planning Group from 10 December 1950 to 1 April 1951, he displayed a superb grasp of the many complicated problems inherent in the unprecedented establishment of an international military headquarters. His foresight and brilliant planning contributed in a large measure to the effective and orderly activation of Supreme Headquarters Allied Powers Europe. As Chief of Staff of SHAPE from 2 April 1951 to 10 July 1953, his handling of the complicated matters involved in developing an integrated staff, coupled with his manner of leadership and consequent ability to gain the confidence of all nationalities and services, resulted in the creation of a cohesive and enthusiastic staff. His executive skill and his profound understanding of multi-service problems did much to make possible the development of sound plans and objectives for the most effective utilization of Allied Forces in the common defense of the free world. As Supreme Allied Commander Europe, and Commander in Chief, United States European Command, from 11 July 1953 to 20 November 1956, his inspiring leadership, his keen appreciation of the individual difficulties confronting each of the member nations, his administrative soundness, and his personal capacity for presenting solutions to existing problems to the various national authorities were major contributing factors in increasing the strength of the alliance. His candor, integrity, brilliance, and unswerving belief in the principles of collective security have won him the respect and confidence of leaders at the highest level in all NATO nations. In so doing, General Gruenther has made an exceptional contribution to the defense of the free world and has carried on the highest traditions of the military service and reflected great credit on himself and the United States.
DWIGHT D. EISENHOWER
"
citations,Harry S Truman,"December 12, 1945","
CITATION TO ACCOMPANY THE AWARD OF
THE MEDAL FOR MERIT
TO
RALPH K. DAVIES
RALPH K. DAVIES, for exceptionally meritorious conduct in the performance of outstanding services to the United States. As Deputy Petroleum Administrator, Mr. Davies organized and directed the unique government-industry combination that achieved one of the outstanding victories of the war--the assurance of petroleum for every military and essential civilian need of the United Nations. Under his guidance, this unprecedented partnership furnished the United Nations with their most vital and most used munition. As a member of the President's Committee on Oil, Mr. Davies played a leading part in formulating and negotiating an international oil agreement, executed by officials of the United States and Great Britain. To these high duties Mr. Davies brought profound oil knowledge, an incisive intellect, rare vision, the quiet power of a gifted organizer and executive, the courageous devotion of a man characterized by unflinching determination, and a deep sense of public service.
HARRY S. TRUMAN
"
citations,Dwight D. Eisenhower,"August 18, 1953","
THE PRESIDENT of the United States in the name of The Congress takes pleasure in presenting the Medal of Honor to
PRIVATE FIRST CLASS ALFORD L. MCLAUGHLIN,
UNITED STATES MARINE CORPS,
for service as set forth in the following
CITATION:
For conspicuous gallantry and intrepidity at the risk of his life above and beyond the call of duty while serving as a Machine Gunner of Company I, Third Battalion, Fifth Marines, First Marine Division (Reinforced), in action against enemy aggressor forces in Korea on the night of 4-5 September 1952. Volunteering for his second continuous tour of duty on a strategic combat outpost far in advance of the main line of resistance, Private First Class McLaughlin, although operating under a barrage of enemy artillery and mortar fire, set up plans for the defense of his position which proved decisive in the successful defense of the outpost. When hostile forces attacked in battalion strength during the night, he maintained a constant flow of devastating fire upon the enemy, alternately employing two machine guns, a carbine and hand grenades. Although painfully wounded, he bravely fired the machine guns from the hip until his hands became blistered by the extreme heat from the weapons and, placing the guns on the ground to allow them to cool, continued to defend the position with his carbine and grenades. Standing up in full view, he shouted words of encouragement to his comrades above the din of battle and, throughout a series of fanatical enemy attacks, sprayed the surrounding area with deadly fire, accounting for an estimated one hundred and fifty enemy dead and fifty wounded. By his indomitable courage, superb leadership and valiant fighting spirit in the face of overwhelming odds, Private First Class McLaughlin served to inspire his fellow Marines in their gallant stand against the enemy and was directly instrumental in preventing the vital outpost from falling into the hands of a determined and numerically superior hostile force. His outstanding heroism and unwavering devotion to duty reflect the highest credit upon himself and enhance the finest traditions of the United States Naval Service.
DWIGHT D. EISENHOWER
"
citations,Lyndon B. Johnson,"September 11, 1968","
CITATION TO ACCOMPANY THE AWARD OF THE PRESIDENTIAL UNIT CITATION
TO THE 366TH TACTICAL FIGHTER WING
The 366th Tactical Fighter Wing, Pacific Air Forces, distinguished itself by extraordinary gallantry while participating in combat operations in Southeast Asia from 23 April 1967 to 1 August 1967. During this period, the members of the 366th Tactical Fighter Wing achieved outstanding success while challenging the North Vietnamese Air Force for aerial supremacy over North Vietnam. Aircrews of the Wing destroyed twelve MIGs and probably destroyed two others during fierce aerial battles. The success of these air battles was due in a great measure to the ingenuity and resourcefulness of the Wing personnel who pioneered the use of the externally carried 20 mm Galling gun. Four of their aerial victories were achieved with this unique weapon. In addition to assuring control of the skies over North Vietnam, personnel of the 366th attacked many key targets with great precision destroying vast quantities of supplies needed by the enemy and disrupting his transportation system. The extraordinary heroism displayed by this unit in the pursuit of its mission is in keeping with the highest standards of .performance and traditions of the United States military service. The gallantry and untiring devotion to duty of the personnel of the 366th Tactical Fighter Wing reflect great credit upon themselves and the United States Air Force.
LYNDON B. JOHNSON
"
citations,Harry S Truman,"November 23, 1945","
CITATION FOR LEGION OF MERIT
DEGREE OF CHIEF COMMANDER
HIS ROYAL HIGHNESS, Crown Prince Olav of Norway, displayed exceptionally meritorious conduct in the performance of outstanding services from August 1944 to July 1945. His friendly cooperation, diligent effort and tireless energy greatly assisted United States forces fighting for the liberation of Norway. Through his loyal and thorough devotion to freedom and his sincere desire for the triumph of the Allied cause, he encouraged the Norwegian forces and people in their sustained effort against the enemy. His active participation in the solution of many problems arising in connection with the defeat of the German forces gained for Prince Olav the admiration and respect of the Allied nations.
HARRY S. TRUMAN
"
citations,Lyndon B. Johnson,"June 20, 1966","
BY VIRTUE of the authority vested in me as President of the United States and as Commander-in-Chief of the Armed Forces of the United States I have today awarded
THE DISTINGUISHED UNIT CITATION
FIRST OAK LEAF CLUSTER)
FOR EXTRAORDINARY HEROISM
TO
THE 1ST BATTALION (AIRBORNE),
503D INFANTRY,
I73D AIRBORNE BRIGADE (SEPARATE)
UNITED STATES ARMY
AND THE ATTACHED UNITS
HEADQUARTERS AND HEADQUARTERS COMPANY,
COMPANY A, COMPANY B, AND COMPANY C
OF THE 1ST BATTALION (AIRBORNE),
503D INFANTRY, I73D AIRBORNE BRIGADE
(SEPARATE)
THE IST TEAM OF THE 3D RADIO RELAY UNIT
THE COMPOSITE SQUAD OF THE I73D ENGINEER
COMPANY
The foregoing companies of and units attached to the 1st Battalion (Airborne), 503d Infantry, 173d Airborne Brigade (Separate) distinguished themselves by extraordinary heroism in action against hostile forces in the vicinity of Bien Hoa, Republic of Vietnam, on 8 November 1965. The morning after the Battalion had conducted a search operation and learned from patrols that a strong hostile element was in the general area, Company C, the lead Company, encountered a well-entrenched and camouflaged Viet Cong force. When the insurgents opened fire with a volume of automatic weapons fire, the United States forces retaliated.
As the battle grew in intensity and it became evident that Company C had engaged a battalion-size Viet Cong element which attempted to surround the flanks of this American unit, Company B was committed to secure the right flank of Company C. Simultaneously, elements of Company A attacked the left flank of the insurgent force. Although Company B met strong resistance and fought at close range in a dense jungle area, it succeeded in penetrating the hostile circle around Company C. Then, as Company B's open flank was being enveloped, the brave men of this Company broke a hostile encirclement for the second time.
Despite the constant Viet Cong assaults, their continual attacks in human waves, and the many casualties sustained by the American units, the gallant and determined troops of the 1st Battalion (Airborne), 503d Infantry repulsed the Viet Cong and inflicted severe losses upon them. After a battle which raged throughout the afternoon, elements of the 1st Battalion (Airborne), 503d Infantry defeated a numerically superior hostile force and, on the following morning, counted four hundred and three Viet Cong dead in the immediate area.
The devotion to duty, perseverance, and extraordinary heroism displayed by these members of the 1st Battalion (Airborne), 503d Infantry and the attached units are in the highest traditions of the United States Army and reflect great credit upon themselves and the armed forces of their country.
LYNDON B. JOHNSON
"
