category,name,date,text
state-dinners,Richard Nixon,"August 21, 1969","
Mr. President, Mrs. Park, all of the distinguished guests in this very distinguished audience tonight:
As I am sure most of you realize, this is an historic occasion not only because of the visit that the President of the Republic of Korea is paying to the United States in an official capacity--because this is the first time in this administration and probably in any administration that a state dinner is being given by the President of the United States for the head of the government of another State, in this case the Republic of Korea, and I am honored that it is in my own State of California and here in the great city of San Francisco.
We have tried to create to an extent the atmosphere which you would find in the White House. The President was pointing out that when he was at the White House at a state dinner there that the audience was not as large, because only 110 could be seated at a White House state dinner.
The wines are from California, the record will show. The flowers are from California, and much of the audience is from California. But the Marine Orchestra, which for 100 years has been the President's orchestra in the White House, was brought from Washington, and the Strolling Strings from the Army came from Washington. We brought them here because we want you to hear them, because one of mine and my wife's most pleasant memories and fondest memories of Korea was in the year 1953 when we became acquainted with the great love of music of the Korean people.
Tonight, in attempting to bring to those in this audience who come from California and all over the Nation something of the feeling of Korea that I have and that l believe the people of the United States do have and should have so they will know the facts, I would like to speak, not simply in my capacity as head of state and head of government, officially welcoming another head of state and head of government, whose friendship we value, but I would like to speak from the hearts of all of the American people to the people of Korea.
And I would like to tell this audience what Korea means, what it means to me, what I think it means to America and to the world.
Korea, first, is a land much like California, a thousand miles of mountains and rivers and valleys. Korea is a land which is very varied in its climate, and in its physical conditions.
Korea, to many in the United States, means a war, a war that was difficult, a war that cost casualties, a war that was controversial. But we should think of Korea tonight in a different sense, because as President Park has often reminded us each time he comes to the United States, he speaks of a different Korea.
Korea today should mean to America and to the world these things: One, it means courage. In all of the world, and I have been to most of the countries of the world, there are no people more courageous than the people of Korea.
They proved their courage fighting for their own freedom in a war that ended 16 years ago. They are proving it by fighting alongside the persons of the United States and those of South Vietnam and other countries in the war in Vietnam with 50,000 Koreans there. And they prove it by maintaining one of the largest armed forces in the world in order to meet the threat which is posed against them in the north.
And this kind of courage Americans admire. Korea means courage, therefore, to us.
Korea also means friendship and alliance in the deepest sense, not the friendship and alliance simply of words, but the friendship and alliance which goes beyond that, and which involves cooperation not just in a war in Vietnam, but in building the new collective arrangements in Asia, which are so important to peace in the Pacific.
And as all of the people in this audience, particularly from California, will realize. peace in the Pacific is essential if we are going to have peace in the world. Because we must remember that the wars that we have been engaged in in the last quarter of a century on three occasions came from the Pacific.
But, finally, Korea today means something else that we need to be reminded of. It means self-reliance. It means self-respect. It means independence. You see it in the faces of the Korean people when you go to that country.
You see it in the faces of that wonderful children's choir, the orphans' choir, when they come to America and sing so beautifully that the tears come to your eyes when you think of what they have been through, and yet how happy they can be despite all that.
And you see it when you realize, as I realized on every occasion today, that Korea is a country which has received aid from the United States, but a country that wants to develop the ability to stand on its own feet. On occasion after occasion, the President and Mrs. Park have expressed the appreciation of the Korean people for the aid they have received from the United States.
And my answer is this: We have aided over 100 countries over the last 25 years. Some of those programs have been successes. More of them have been failures.
But there is one great lesson. All of the aid in the world will not help the people who are unable or unwilling to help themselves. And the people of Korea are not only willing to help themselves, they insist on helping themselves.
And despite their immense military budget, they are developing economically in a remarkably effective way so that the time is now nearing when they will proudly be able to stand on their own two feet economically without any assistance from the United States or any other nation.
So these qualities are what we think of or I think of when I think of Korea: courage, true friendship and alliance, and self-reliance, self-reliance which is so important for the character of a great people.
In proposing a toast to the President of Korea, I have been reminded that there is a saying in Korea which goes like this: The times in which we live are most trying, but may the time come when peace and prosperity will finally come to those thousand miles of mountains and rivers on which we live.
That is what we feel about Korea tonight. We want peace and prosperity for Korea, for all the nations of the world; and, so, from our hearts, I know all will want to join me tonight in raising our glasses to that peace and prosperity for the people of Korea and to the President of Korea and to Mrs. Park--to the President.
"
state-dinners,Joseph R. Biden,"October 25, 2023","
President Biden. Please have a seat. Thank you.
Well, good evening, everyone. The Prime Minister and I and Jodie and members of the Australian delegation, distinguished guests: Jill and I are honored to welcome you tonight to celebrate the historic bonds between our two nations that's been going on for 72 years now.
An alliance, during World War II, more than 150,000 American troops based in Australia to fight in the Pacific Theater. And to ensure they were prepared to navigate Down Under, they—each one of them was given a manual entitled—and here's what it was entitled, ""Instructions for American Servicemen in Australia."" I'd like to read it. [Laughter]
Prime Minister Albanese. It could be dangerous.
President Biden. Not all of the tips hold up today, but I thought one of them was pretty good, and this is a quote from it: ""You'll find the Australians . . . haven't much respect for stuffed shirts, their own or anyone else's."" [Laughter] Well, I've learned that my trip Down Under as well as becoming friends with the Prime Minister. No wonder we get along so well. [Laughter]
Another tip from the manual not only stands out but stands up, quote: ""Australians have been in all the hotspots wherever the going—whenever the going has been tough."" End of quote. And that's a fact, they have been.
You know, that commitment—[applause]. That commitment to face tough challenges, that courage to fight for a better future, that's what's always brought America and Australia together.
I saw this growing up with my grandfather, Ambrose Finnegan, who lost his son in the Pacific in World War II. He would literally straighten his shoulders every time Australia—the country of Australia—was mentioned. He'd just straighten up, straighten his shoulders.
I saw it when my own son—Major Beau Biden in the National Guard, spent a year in Iraq—told me how he could always count on Aussies to have his back. That's a fact. That's what he had said; he meant it.
And you know, that Ode Remembrance promise: ""At the going down of the Sun and in the morning, we will remember them."" Period. Look, folks, today that bond first forged on the battlefield has grown to capture the full range of human ingenuity. Australian and American workers are building the future together. Australians and American students are innovating together. Australian and American engineers are working together to support Artemis missions to return human beings to the Moon and from there to Mars.
And, as I saw when I visited Australia in 2016, Australians and Americans are driving cutting-edge research to end cancer as we know it—and we will—research that has only grown with Australia teams recently mapping 949 cancer cell lines across 40 types of cancers.
Ladies and gentlemen, a great deal of the history of our world will be written in the Indo-Pacific in the coming years. Australia and the United States must—must—write that story together.
We must continue to advance freedom, security, and prosperity for all; continue the vital work in both our nations of building strong partnerships, of upholding nation-to-nation commitments and—to Native peoples; continue to defend the values of great democracies—freedom of expression, freedom of religion, and freedom from fear; and continue to build a future worthy of our highest hopes even when it's tough—especially when it's tough. For we know that's when it matters the most.
Mr. Prime Minister, today our two nations meet the future, emboldened with a confidence all that's come before. That's what built our confidence: all that has brought us here and all that Australia and America are—innovative, courageous, loyal, unwavering, bold of heart, and resolute of spirit. Determined that tomorrow will be better than today. It will be the most—it will be more than just. It will be more free, more fair, and for all people, because we have the power to make it so.
So please join me if I can get a glass——
[At this point, President Biden was handed a glass.]
Here you go. [Laughter] Please join me in a toast.
To our partnership, our mateship, and the future that we'll create together. Cheers.
[President Biden offered a toast.]
Audience members. Cheers.
President Biden. Mr. Prime Minister, the floor is yours.
Prime Minister Albanese. Well, thank you very much to Mr. President and First Lady Dr. Biden.
I must say I only have one regret about tonight, which is I'm not quite sure how I top this for date night with Jodie—[laughter]—at any time, anywhere in the future. [Laughter] It's all downhill from here, my darling. [Laughter]
Ladies and gentlemen, we live in a world that does keep changing. Yet one thing that keeps the ground firm beneath us is the great constant that is the American spirit.
America has never been held back by the unknown or slowed by trepidation. You stride boldly towards the future, excited by all of its possibility. In every field of human endeavor, your nation is energized by a ceaseless curiosity and the confidence to follow it.
It is a spirit that Australians identify with. With a small population, but a very big imagination, we punch above our weight, all the while drawing inspiration from our friends across the Pacific. We stand as close as we have ever been and, I think, after this week, closer than we have ever been.
We are firm allies strengthening defense cooperation through AUKUS and creating more economic opportunities for our peoples and our region. Australians are always ready to play our part. Most importantly, our nations are close friends, friends who admire each other's qualities. I think we get each other.
And President Biden and I had our first meeting before I'd even selected, of course, a Cabinet. I was elected on the Saturday. And by Monday, I was off to the Quad leaders meeting. And I do want to thank the President for your warm welcome and that rather extraordinary beginning on the front foot in those first days of my government.
Friends who draw strength from all we have in common, but we take joy in our differences as well. Friends who look to the future together without losing sight of the moments in the past that bind us together.
Mr. President speaking as one man with Irish ancestry to another—although I am also, of course, half Italian, so you don't have to guess my religion—[laughter]—I know you won't object to me quoting a Dubliner. The familiar words of William Butler Yeats, ""Things fall apart; the centre cannot hold,"" are now more than a century old. Yet they speak to us just as clearly now as the long contest between democracy and authoritarianism plays out its newest chapter.
But to capture the essence of the bond between our two nations in all of its warmth and its easy strength, I turned to another of his poems: ""Think where man's glory most begins and ends, and say my glory was I had such friends.""
So allow me to make a toast to such friends, because Australia has no greater friend than the United States of America. So, to the President and First Lady, to the history our peoples have made together, but importantly, the future we will build together as a peoples.
To friendship.
[Prime Minister Albanese offered a toast.]
Prime Minister Albanese. Thank you, my friend.
President Biden. Thank you.
Enjoy your meal.
"
state-dinners,William J. Clinton,"May 30, 2000","
Mr. President, Mrs. Sampaio, Mr. Prime Minister, members of the Government, members of the diplomatic corps. I would like to thank you, Mr. President, the Government, and the people of Portugal, for the welcome that I and my party have received. I'd like to thank you for the meeting we had today. It has been a pleasure for me to spend time with another President who likes to read detective novels, listen to good music, and play golf. We could have had a 2-day summit on those three topics alone. [Laughter] My staff suggested it so that they could go to the beaches.
Let me say that five centuries ago the vision and courage of Portugal helped Europe to find its way across the Atlantic. You were the first to set foot in South America, to sail down West Africa, to cross the Equator, to round the Cape of Good Hope, to reach India by sea from the west, to trade with China and Japan. It is little wonder then that Portuguese is now spoken by more than 200 million people in countries throughout the world. One of these nations, of course, is the United States.
Two centuries ago Portugal was the very first neutral state to recognize our independence. And as you noted yourself, Mr. President, the United States has been strengthened by the contributions of Portuguese-Americans, from John Philip Sousa, who wrote the music we use to celebrate the Fourth of July, to John Dos Passos, whose voice helped to define America in the 20th century. Today, we are proud to stand with you as partners, allies, and friends.
Twenty-six years ago Portugal turned from dictatorship to democracy. Ten years ago Eastern Europe followed your lead. Today, Eastern Europe is still learning from your example. When finally we build a Europe that is undivided, democratic, and at peace for the first time in history, there will be a great debt owed by all freedom-loving people to Portugal.
Today, this nation that once brought the four corners of the world together is working with its EU allies and America to bring the world together to advance democracy and human rights. Portugal has taken a leading role in NATO and the EU. In Kosovo, nearly half the sorties that led us to victory flew out of Lajes Air Base in the Azores. In East Timor, Portugal's leadership rallied the international community. In Mozambique, our two nations are working together to lead the relief effort. From the Balkans to East Timor to Africa, our troops serve side by side to keep the peace and build a better future.
Here in Portugal, Prime Minister Guterres has charted new ways to solve old challenges and to make the global economy work for all your people. I admire that as well.
Two years ago a Portuguese author was awarded the Nobel Prize for Literature. A short time later, we in the United States had the honor of hosting Jose Saramago as he received an honorary degree from the University of Massachusetts. Looking out at generations of Portuguese who had traveled to America to enrich our culture and our country, he said that they are a part of an unremitting human chain that has always been and will continue to be an example of living history. That living history links not only past and present but the people of our two countries, from Lisbon and Porto to New Bedford, Fall River, Providence, Newark, all the places Portuguese-Americans have made their own.
Today, we look ahead to a new century. We celebrate our friendship and embrace common challenges. We hope that the values we share will spread across the Earth and bear fruit in more places for more people than ever before. We hope that we will always stand together as friends in the defense of those values and in their advance.
I ask now that all of you join me in a toast to the President of Portugal and Mrs. Sampaio, to the people of this great nation, and to our long friendship.
"
state-dinners,George W. Bush,"November 06, 2007","
Mr. President, distinguished guests: Laura and I offer you a warm welcome to the White House, or should I say, ""Bienvenue a la Maison Blanche."" [Laughter]
In 1777, another George W. welcomed to America another Frenchman. His name was Lafayette. The two leaders built a strong friendship based on common values and common virtues. They both recognized the power of human freedom. They both served with courage in freedom's cause, and they both anticipated that freedom would advance in other lands following its victory here in America.
Two centuries later, our two nations are honoring the legacy of Lafayette by helping others resist tyranny and terror. French and American troops are helping to defend a young democracy in Afghanistan. Our two nations support the democratic Government of Lebanon. We agree that reconciliation and democracy in Iraq are vital to the future of the Middle East. And our two nations condemn violations of human rights in Darfur, in Burma, and around the world.
France and the United States can meet great challenges when we work together, Mr. President. You and I share a commitment to deepen the cooperation of our two republics, and through this cooperation, we can make the world a better place.
I look forward to our discussions at Mount Vernon, where George Washington welcomed his friend Lafayette. And in the spirit of our friendship, I offer a toast to you and to some of America's oldest friends, the free people of France.
"
state-dinners,William J. Clinton,"July 27, 1995","
Let me welcome President and Mrs. Kim, the members of the delegation from the Republic of Korea. To all of our distinguished guests, Hillary and I are delighted to have you here in the White House. I have especially enjoyed this day that I have spent with President Kim, a man whose extraordinary resilience is matched only by his commitment to democracy.
Mr. President, this is our fourth meeting. And if you'll permit me just a personal note, I am struck by how much we have in common. We were both elected to office at an early age. You won a seat in your National Assembly when you were just 25. You entered the Blue House just a month after I came to the White House. Or to put it in another way, we have both spent the past 20,000 hours or so dealing with our respective Congresses and fielding hard questions from the press. [Laughter] I'm happy to say that President Kim is also an enthusiastic jogger who permitted me to jog with him in Korea. And even in this heat, Mr. President, after this meal, we may have to run an extra mile together tomorrow. [Laughter]
Mr. President, for all the things we have in common, I must also comment on something that sets you apart from most other leaders in the world today, and that is the extraordinary hardship you endured and the courage you displayed to bring democracy to your country. Your many years in opposition were marked by jail terms, years of house arrest, an assassination attempt, and a 23-day hunger strike that almost took your life. As you once put it, a short life of integrity is better than a long life in disgrace.
But you persisted, and you prevailed. At your inauguration you said, ""Deep in my heart I have a vision of a new Korea, a freer and more mature democracy. At last we have established a government by the people and of the people of this land."" Now under your leadership, Korea is taking its rightful place in the world as both a thriving economy and a dynamic democracy.
Mr. President, the bonds between our people, forged in the fires of war upon your land, have only grown stronger with time. We are united now by a history of shared sacrifice and a future of common purpose. These are our common goals: lasting peace, security, and reconciliation on the Korean Peninsula; a stable and prosperous Asia-Pacific region; a rising tide of democracy around the world. Working together, the Republic of Korea and the United States can help to achieve them.
Mr. President, when I visited you 2 years ago, you presented me with a beautiful work of calligraphy with your favorite saying: Taedo Mumun, Righteousness overcomes all obstacles. Mr. President, tonight, in the presence of so many people from your country, so many Korean-Americans, your wonderful wife, and your two daughters who live in our country, I ask everyone in this room to raise a glass to a man who, through his own righteousness, has overcome all obstacles: Kim Yong-sam. To you, Mr. President, and to the enduring friendship between our two great nations.
"
state-dinners,Harry S Truman,"March 28, 1951","
I have a pleasant duty to perform in presenting you with this decoration. We know that you deserve it, and we hope you will wear it with pleasure.
[Reading citation] ""The President of the United States of America, authorized by Act of Congress July 20, 1942, has awarded the Legion of Merit, Degree of Chief-Commander, to His Excellency Vincent Auriol, President of the French Republic and Commander in Chief of her armed forces, for exceptionally meritorious conduct in the performance of outstanding service.
""His Excellency Vincent Auriol, President of the French Republic, and Commander in Chief of her armed forces since January 1947, has displayed unswerving friendship to the United States and to the ideals held by all democratic nations, and has done much to assure the success of these ideals. His constant aim in stimulating the historical bonds of close friendship between France and the United States, and his strong backing of a mutual, progressive and liberal foreign policy, have presented the rest of the world with the guiding example of continuing cooperation between the Republic of France and the United States of America."" Signed by the President, and dated at the White House.
I drink a toast to His Excellency the President of France, to the first official visit that any President of France has ever paid to the United States.
"
state-dinners,George W. Bush,"October 18, 2003","
The President. Thank you very much, Madam President and Attorney Arroyo, for your gracious hospitality. Laura and I are really grateful for your warm words of welcome. We also appreciate the distinction you have bestowed upon us this evening, the Order of the Sikatuna and the Order of Gabriela Silang. We are honored to accept them on behalf of the American people.
I represent the oldest democracy in the Americas. And I'm proud to pay tribute to the oldest democracy in Asia. The friendship between our countries is strong and warm and enduring, and we reaffirm that partnership here tonight.
Today I was the first United States President since Dwight Eisenhower to address a Joint Session of your Congress. In 1960, President Eisenhower expressed America's firm support for a fledgling democracy. Two generations later, I am pleased to show my country's support for the great democracy you have become.
The Philippines and the United States are linked by shared values, by shared history, and by a shared commitment to the defense of liberty. Only a few miles from this palace are the graves of 17,000 Americans who fought for freedom in the Pacific. Their lasting legacy and the legacy of the Filipinos who fought with them is a free and democratic Philippine nation.
Today, free nations are tested once again. Once again, we face determined enemies of freedom, the terrorists and their allies. Once again, we are depending on one another in an hour of need. Once again, we are relying on the strength of the great alliance between our two countries. Once again, we will prevail.
Madam President, I thank you for your friendship and counsel, for your courage and perseverance. And I offer this toast to you, to the great nation of the Philippines, and to the lasting friendship between our two peoples.
[At this point, the President offered a toast.]
The President. Thank you.
"
state-dinners,Barack Obama,"July 01, 2013","
Well, President Kikwete, Madam First Lady, distinguished guests: On behalf of myself and Michelle, our delegation, our daughters, we want to thank you for the incredible warmth and hospitality with which you've greeted us throughout the day. We could not be more grateful.
I am not the first American leader to visit this beautiful country. Other Presidents and prominent citizens have come before me. We just came from South Africa, where Robert Kennedy famously spoke of how every time we stand up for an ideal, we send out a ""tiny ripple of hope."" Less known is that after that trip to South Africa, Robert Kennedy also came here to Tanzania. It was a little different back then. Kennedy and his wife Ethel rode in the back of an open truck. The Secret Service has me and Michelle inside a fortified limousine. We call it the Beast. [Laughter] As Kennedy's truck made its way through the crowds, he picked up two boys and let them ride alongside them. The Secret Service doesn't let me do these things. [Laughter] When Kennedy came, it was a public holiday here. I apologize to Tanzanians that you all had to work today. [Laughter]
But while have—while these times have changed, the good feelings stay the same. We've been deeply touched by the welcome and the warm wishes from the Tanzanian people: along the streets as we came in here, with you tonight. Dar es Salaam means ""harbor of peace,"" and we thank you for sharing that sense of peace and brotherhood for which this country and its people have long been known.
Mr. President, you've shown wisdom and strength in seeking reforms so that more Tanzanians can enjoy progress, more opportunity. And like me, you're strengthened by a woman who is a leader in her own right. I am told that Mama Kikwete is fond of a traditional Tanzanian saying: ""My neighbor's child is my child."" And that sentiment, I think, also captures the feeling the partnership between our two countries must have. We live thousands of miles apart, but as fellow human beings, we share a sense of obligation to each other, especially to the youngest among us.
So you might say an American child is my child. We might say a Tanzanian child is my child. In this way, both of our nations will be looking after all of our children, and we'll be living out the vision of President Nyerere. The core values that he proclaimed for Tanzania also describe what both our countries seek: wisdom, unity, and peace—hekima, umoja, na amani.
So what I'd like to do is to propose a toast, if I can get my water here: To our gracious Tanzanian hosts, to our Tanzanian friends, and to wisdom, unity, and peace that we all seek in the world.
[At this point, a toast was offered.]
Cheers.
"
state-dinners,Ronald Reagan,"June 27, 1988","
President Reagan. Ladies and gentlemen, I've been told of a Turkish proverb that states: ""A cup of coffee will bear the fruit of 40 years of friendship."" Well, my sense of this expression is that in the give and take of conversation over coffee people establish the sense of caring and loyalty, and of shared hopes and expectations, that define friendship.
Now, Americans and Turks sitting here will soon be sharing a cup of coffee. And earlier today, you and I shared our ideas and our hopes for the United States, for Turkey, and for the partnership between our peoples. And that's why I've long hoped that you would come to the United States, and that's why I'm glad you're here.
But you and I are building on a solid structure. The United States and Turkey have, for more than 40 years, shared much more than a cup of coffee. We've worked together to preserve the integrity of Turkey when it was threatened by aggression in 1947. We've been partners in the world's most successful partnership: the NATO alliance of democracies. Together with our allies, we have withstood aggression and made progress toward peace. Turks and Americans shed blood together in Korea. Americans have been proud to help Turkey in securing its democracy and seeking prosperity.
Our aspirations for our partnership remain large: peace, security, and freedom for our peoples; close cooperation in securing these objectives; and success in defending them. I am confident that 40 years from now Turks and Americans will look back and say that through their friendship Turks and Americans secured for themselves the kind of world we have envisioned together.
And now please join me in a toast to President Evren, to the Turkish-American relationship, and to the friendship between our two peoples. And as you say in Turkish: Serefinize [To your honor].
President Evren. Mr. President, Mrs. Reagan, distinguished guests: Mr. President, I thank you for your kind remarks. I am indeed moved by them. Our talks today with you and with the distinguished members of your administration have reaffirmed the strength and depth of the bond of friendship which we have continuously developed over the years between our countries. I am most pleased to observe this.
During your administration, Turkish-American relations have gained additional momentum, and the scope of our cooperation has vastly expanded. I am confident that I speak for the Turkish people in stating that we see you not only as a distinguished statesman of our era but also as a good friend of Turkey. We hope that future administrations will carry and further build on the revitalization process in our relations.
The strategic interdependence between our two countries, which we mutually identified almost 40 years ago, retains its validity today. But Turkish-American cooperation rests not only on strategic interests but also on common values embedded in the principles of respect for human rights, freedom, and democracy. We in Turkey are proud that, like other NATO countries with whom we share a common destiny, we have succeeded in establishing a democracy with all its institutions based on respect for human rights. Though this characteristic may not be all that well-known, it is the basis for Turkey's position as an island of peace and stability in a region in turmoil.
Mr. President, we followed with satisfaction and great interest the positive developments at the Moscow summit. It is the hope of Turkish and other peoples that the historical step taken by concluding the INF agreement will be followed by more comprehensive ones in the direction of disarmament. I would like to express my appreciation for this constructive initiative on the part of the United States and the Soviet Union and congratulate you for your tremendous success. We support the efforts of your administration to seek better relations with the Soviet Union without neglecting our defense requirements. It would be a tremendous achievement if, through these efforts, we could leave to future generations a more secure world.
Mr. President, with its present capabilities and future potential, Turkey can become an important economic partner. Internal stability and peace have fostered and sustained high rates of economic growth. This encourages us as we look to the future with confidence for a prosperous Turkey. We consider the economic dimension of our relations with the United States as integral to our traditional friendship and security partnership. Expanded economic cooperation will be an additional source of strength for our political and security relations. That is why we seek more dynamic and comprehensive economic collaboration as part of a multifaceted and therefore more robust relationship. We want our American friends to know of our desire for wide-ranging cooperation in this regard.
Mr. President, I thank you once again for your kind invitation, for the generous hospitality that the American people have extended to us, and for this beautiful evening. And I propose a toast to you; to your charming wife, Mrs. Reagan; and to the continuation of the excellent relations between Turkey and the United States.
"
state-dinners,William J. Clinton,"September 17, 2000","
And Mr. Prime Minister, on behalf of the American people, let me welcome you again to the White House, along with all your party from India.
I hope that in your time with us, we have at least come close to repaying the warm hospitality with which you and the Indian people greeted me, my family, and our fellow Americans on my visit in March.
One of the most remarkable things to me about our relationship is its scope and its increasing interdependence. There are hundreds of American businesses, foundations, and universities with long commitments to India. When Americans call Microsoft for customer support today, they're as likely to be talking to someone in Bangalore or Hyderabad as to someone in Seattle.
There are more than one million Indians here in America now, and I think more than half of them are here tonight. [Laughter] And I might say, Prime Minister, the other half are disappointed that they're not here. [Laughter]
Indian-Americans now run more than 750 companies in Silicon Valley alone. In India, the best information available on maternal health and agriculture can now be downloaded by a growing number of villages with Internet hookups. And Indian-Americans can now get on-line with people across the world who speak Telugu or Gujarati or Bengali.
Americans have fallen in love with Indian novels. I'm told that Prime Minister Vajpayee, when he's not writing Hindi poetry, actually likes to read John Grisham. [Laughter] You might be interested to note, Prime Minister, that he's a distant relative of mine. All the Grishams with money are distant relatives of mine. [Laughter]
And don't forget, whether we're in California or Calcutta, we all want to be a crorepati. Now, for the culturally challenged Americans among us, that's from India's version of ""Who Wants To Be a Millionaire?"" [Laughter]
Of course, our interdependence is about more than commerce and culture. We are also vulnerable to one another's problems, to the shock of economic turmoil, to the plague of infectious diseases, to the spread of deadly military technology, and as we have all too painfully seen, to the terrorists, drug traffickers, and criminals who take advantage of the openness of societies and boarders.
The simple lesson of all this to me, Mr. Prime Minister, is that if we're already all in the same boat together, we had better find a way to steer together. We must overcome the fear some people in both our countries sometimes have, for different historical reasons, that if we meet our friends halfway, somehow it will threaten our own independence or uniqueness.
That is why I am so gratified that, with your leadership and the efforts of so many people in this room, we have together built the strongest, most mature partnership India and America have ever known.
We have so very much more to learn from each other. In both our societies, you can find virtually every challenge humanity knows. And in both our societies, you can find virtually every solution to those challenges: confidence in democracy, tolerance for diversity, a willingness to embrace economic and social change.
So it is more than a slogan for Americans to say that India's success will be our success and that together India and America can change the world.
Ladies and gentlemen, I ask you now to join me in a toast to Prime Minister Vajpayee, to the Government and people of India, and the enduring partnership between our two great democracies.
"
