category,name,date,text
vetoes,William J. Clinton,"October 02, 1996","
To the House of Representatives:
I am returning herewith without my approval H.R. 2909, the ""Silvio O. Conte National Fish and Wildlife Refuge Eminent Domain Prevention Act.""
This bill would prohibit the use of eminent domain authority for the protection of the public's fish and wildlife resources at portions of the Silvio O. Conte National Fish and Wildlife Refuge in the States of New Hampshire and Vermont. Because it is unnecessary and would undermine important governmental interests, I cannot support it.
First, the Conte Refuge poses no threat to property owners. Located along the Connecticut River in the States of Connecticut, Massachusetts, New Hampshire, and Vermont, it represents an entirely new kind of national wildlife refuge. Rather than relying on the traditional approach of acquiring large tracts of land, the comprehensive plan for the Conte Refuge provides that only small amounts will come into Federal ownership—a total of only 1,200 acres in New Hampshire and Vermont, along with conservation easements for an additional 760 acres. Instead of Federal land acquisition, the main emphasis for the Refuge will be on restoring the Connecticut River watershed through voluntary partnerships, cooperative agreements, and environmental education. The Fish and Wildlife Service has no intention of using its eminent domain authority.
Second, this bill would undermine a constitutionally bestowed authority of the Federal Government by prohibiting the use of eminent domain for fish and wildlife conservation. The truth is that the Fish and Wildlife Service almost never uses eminent domain for wildlife conservation purposes—on a nationwide basis, since 1989, the U.S. Fish and Wildlife Service has only used its eminent domain power with the consent of the owner to settle price or title differences. Still, eminent domain remains an important tool of last resort, to protect the public's interest in fish and wildlife resources should unforeseen circumstances arise.
Private property is a fundamental American right and value. But this bill is unnecessary and would erode a constitutional authority that has served the public interest for over 200 years. As stated during debate on the bill in the House of Representatives, H.R. 2909 is a solution in search of a problem.
WILLIAM J. CLINTON
The White House, October 2, 1996.
"
vetoes,Grover Cleveland,"July 03, 1886","
To the Senate:
I hereby return without approval Senate bill No. 365, entitled ""An act for the relief of Martin L. Bundy.""
By this bill it is proposed to allow in the settlement by the United States with Mr. Bundy, who was lately a paymaster in the Army, the sum of $719.47 for the forage of two horses to which he claims he was entitled while in the service, and which has never been drawn by him. The time during which it is alleged this forage was due is stated to be between July 17, 1862, and April 15, 1866.
This claimant was mustered out as paymaster on the last-mentioned date, and in 1872 a certificate was issued that, his accounts having been adjusted, they exhibited no indebtedness on his part to the United States.
Subsequently, however, and in or about the year 1879, it was discovered that by reason of a duplicate credit, which had been allowed him by mistake, he was actually indebted to the Government in the sum of $528.72.
After the fact had been made known to him the claim embodied in this bill was suggested to or invented by him, which, if allowed, will not only extinguish his indebtedness to the Government, but leave a balance due to him.
By the law and the Army Regulations the forage upon which this claim is based is or should be only allowed to those in the service who actually have and use horses in the performance of their duties.
And when thus entitled to forage it was necessary to draw it in kind or in the specific articles permitted every month, and if not thus drawn it could not afterwards be claimed. There seems to be no such thing as commutation of forage in such cases.
There is no suggestion that the claimant named in this bill had or used any horses while in the service. If he did and paid for their maintenance and at the time of the settlement of his accounts made no claim for reimbursement, he presents a case of incredible ignorance of his rights or a wonderful lack of that disposition to gain every possible advantage which is usually found among those who deal with the Government.
It is quite apparent that the claim is not valid, and the fact that it is made long after the discovery of his deficit leads to the suspicion that it is insisted on merely for the purpose of paying his debt.
Though in this particular case it would do but little more than to extinguish an indebtedness to the Government, the allowance of this claim would set a precedent which could hardly be ignored, and which, if followed, would furnish another means of attack upon the public Treasury quite as effective as many which are now in active operation.
GROVER CLEVELAND
"
vetoes,Harry S Truman,"August 07, 1947","
I HAVE withheld my approval from HR 597, ""To protect American agriculture, horticulture, livestock, and the public health by prohibiting the unauthorized importation into, or the depositing in the territorial waters of, the United States of garbage derived from products originating outside of the continental United States, and for other purposes"", for the following reasons:
1. In section 1(6) it is provided that the term ""United States"" when not limited by the adjective ""continental"", includes all territories and possessions of the United States, ""with the exception of the Philippine Islands and the Canal Zone"". The reference to the Philippine Islands as a territory or possession of the United States, however inadvertently used, would be seriously embarrassing to this Government in its relations with the Republic of the Philippines, which became a sovereign nation on July 4, 1946.
2. In section 2(a) it is prohibited and made unlawful to throw, discharge, or deposit garbage, or to cause, suffer or procure garbage to be thrown, discharged, or deposited, from any vessel, railway car, aircraft, or other vehicle entering the United States into any territorial waters of the United States ""unless such garbage has been reduced to fluid form"". This provision seems inadequate to prevent the placing in our territorial waters of garbage which is infected with human or animal diseases. It is necessary in addition to require that such garbage shall be disinfected prior to its discharge into our territorial waters. This requirement is of importance on account of the situation existing in the Canadian boundary waters, especially in the Great Lakes region, since such waters are used for human consumption. Under dates of April 1 and October 3, 1946, Canada and the United States submitted joint references to the International Joint Commission--United States and Canada, to consider measures for the suppression of the pollution of boundary waters consisting of the St. Marys River, St. Clair River, Lake St. Clair and the Detroit River. In connection with this investigation, it has been reported to me that measures may be taken to prevent the dumping of garbage from ships in the vicinity of the intakes of water systems. Such proceedings might be taken under the provision of section 13 of the Act of March 3, 1899 (30 Stat. 1152; 33 U.S.C. 407).
3. By section 9 of the proposed legislation it is provided that nothing contained in section 13 of the Act of March 3, 1899 shall be construed as forbidding the discharge of fluid garbage into the territorial waters of the United States. This provision would remove the legislation whereby proceedings could be instituted against persons dumping infected garbage into Canadian boundary waters although it had been reduced to a fluid state.
HARRY S. TRUMAN
"
vetoes,Grover Cleveland,"May 29, 1888","
To the House of Representatives:
I return without approval House bill No. 1275, entitled ""An act for the erection of a public building at Columbus, Ga., and appropriating money therefor.""
The city of Columbus, Ga., is undoubtedly a thriving, growing city. The only present necessity for a public building there is for the accommodation of its post-office. It is stated in the report of the House committee that the gross revenues of the office for the year ending June 30, 1887, were $16,700. The postmaster, in a letter upon the subject, makes the following statement:
I estimate the gross receipts at $17,500 for the fiscal year ending March 31, which will be an increase of nearly 7 per cent over last year's receipts.
There are nine persons employed in the post-office at present, including the postmaster. The present quarters are leased by the Government at an annual rent of $900. The postmaster represents that his accommodations are not adequate or convenient, and that instead of a space of 1,900 square feet, which he now has, he should be provided with 2,500 square feet.
The population of the city in 1880 was 10,123. It is claimed that it is now about 20,000.
In my opinion the facts presented do not exhibit the necessity of the expenditure of $100,000 to afford the increased room for the post-office which may be desirable. I believe a private person would erect a building abundantly sufficient for all our postal needs in that city for many years to come for one-third of that sum.
Business prudence and good judgment seem to dictate that the erection of the proposed building should be delayed until its necessity is more manifest, and so that it can be better determined what expenditure for such a purpose will be justified by the continued growth of the city and the needs of the Government.
GROVER CLEVELAND
"
vetoes,Grover Cleveland,"February 24, 1887","
To the House of Representatives:
I herewith return without approval House bill No. 7648, entitled ""An act for the relief of the estate of the late John How, Indian agent, and his sureties.""
John How was appointed Indian agent in July, 1878, and upon such appointment gave a bond to the Government in the penal sum of $10,000 conditioned for the faithful performance of his duties as such agent and to protect the Government from loss by mismanagement or malfeasance in his official conduct. The parties named in the bill were his sureties on said bond.
On the 23d day of December, 1881, upon a report of inspectors connected with the Indian Bureau suggesting frauds and mismanagement in the conduct of this agency, Mr. How was suspended from his office, which suspension was approved by the President in January, 1882.
After such suspension the accounts of the agent were examined and various explanations offered by him in relation thereto. It is stated, however, in a report from the Indian Office now before me, that such explanations were deemed by that office sufficient to remove only a small part of the items in the accounts which were questioned. The matter was thereupon referred to the Treasury Department for further examination and adjustment.
The Second Comptroller reports that the final settlement of this agent's accounts was pending before the accounting officers for upward of eighteen months, affording ample opportunity for any explanation which might be deemed necessary and proper, and that on the 21st day of July, 1885, a final adjustment was made of the said accounts, by which a sum very much in excess of the penalty of his bond was found due from said agent to the Government.
A suit was afterwards instituted against the agent and his sureties to recover the amount thus found due, so far as the bond covered the same.
This suit is still pending.
The object of the bill now under consideration is to wholly release and discharge these sureties from any liability upon said bond.
It seems to be the opinion of all the officers of the Government who have examined the matter at all that a debt exists in favor of the Government upon this bond. It is reported that a large amount of evidence has been taken, and that in the opinion of these officers the amount due the Government can not be reduced to a less amount than the penalty of the bond.
The Second Comptroller states, as results of examinations made in his office and by the Second Auditor, that it appears that many of the vouchers presented by the agent were fictitious, the persons in whose names they were given testifying that services and supplies therein mentioned were never rendered or furnished; that in other cases parties denied the genuineness of vouchers purporting to be made by them; that a large voucher apparently given for cattle was actually given for money loaned, and that supplies bought with Government funds were appropriated for the agent's personal benefit.
I do not suppose that it was intended by the Congress to entirely relieve these sureties if a condition exists such as is above set out, which results in an indebtedness to the Government. The proposed legislation, judging from the report of the House Committee on Claims, seems rather to proceed upon the theory that no sum is due the Government in the premises.
I think it will hardly be claimed that the patient investigation of the accounting officers should be lightly discredited in this case; and it seems to me that justness to the Government and fairness to the sureties seeking relief will presumably be secured by the further prosecution of the suit already instituted, in which the truth of all matters involved can be thoroughly tested.
GROVER CLEVELAND
"
vetoes,Benjamin Harrison,"January 26, 1891","
To the House of Representatives:
I return herewith without my approval the bill (H. R. 12365) entitled ""An act to authorize Oklahoma City, in Oklahoma Territory, to issue bonds to provide a right of way for the Choctaw Coal and Railway Company through said city."" This bill authorizes the corporation of Oklahoma City to issue corporate bonds to the amount of $40,000 for the purpose of providing the right of way for a railroad company through the city, if the proposition shall receive the assent of a majority of the legal voters at an election to be called for that purpose.
It is attempted to distinguish this case from the ordinary ease of a municipal grant to a railway company by the fact that this railway company had located its line through the lands afterwards settled upon under the town-site law before such settlement, and that the route thus located cuts the plat of the city diagonally and in a way to be very injurious to property interests.
Upon an examination of the facts it appears to me to be clear that no legal location was made by the railway company prior to the acquisition of the lands by the occupying settlers. Some preliminary surveys had been made, but no map of location had been filed with the Secretary of the Interior. If the rights of this company at this point of its road as to right of way are derived from the general statute of the United States upon that subject (U. S. Revised Statutes, Supplement, p. 87), then section 4 distinctly saves the right of any settler who had located prior to the filing of a profile of the road and the approval by the Secretary of the Interior thereof. And if, on the other hand, the rights of the company at the point indicated are derived from the act of Congress of February 18, 1888, ""to authorize the Choctaw Coal and Railway Company to construct and operate a railway through the Indian Territory, and for other purposes,"" section 6 of that act also plainly protects the right of any occupying claimant. The latter statute, it seems to me, was intended to grant a right of way only through Indian lands, and if these lands were not such the general statute to which I have referred would apply; but in either event the conclusion is the same.
It appears from the report of the committee that its favorable action, and, I must assume, the favorable action of Congress, proceeded upon the theory that there was a real controversy, doubtful as to its issue, as to the right of the railroad company to hold the line of its survey through the city.
Stripped, then, of this claim the proposition is nakedly one to authorize Oklahoma City to donate $40,000 to the Choctaw Coal and Railway Company. The general statute of the United States prohibits such grants, and this must stand until repealed as a continuing expression of legislative opinion. If a departure from this rule is to be allowed at all, certainly it should only be where the circumstances are exceptional. Such circumstances, in my opinion, do not exist in this case. Already I have received from other cities in the Territory protests against special legislation of this sort, accompanied by the suggestion that if this policy is admitted other cities shall also be allowed to encourage the building of roads by donation.
Oklahoma City, according to the report of the Census Office, has a Population of about 4,100, and this donation would be equivalent to nearly $10 per capita. Very little real estate, whether town-site or country property, in this Territory is yet subject to assessment for taxation. The people have not yet had time to accumulate, and Congress has received appeals for aid to relieve a prevailing distress which the Territorial authorities have found themselves unable to deal with. It does not seem to me, in view of all these facts, that the wholesome rule prescribed by the general statute should be departed from.
BENJ. HARRISON
"
vetoes,Lyndon B. Johnson,"December 31, 1963","
I AM withholding my approval from H.R. 2513, a bill to require, with respect to every imported article removed from its container and repackaged, that the new package be marked with the name of the country of origin if, under present law, the original container must be so marked, with failure to do so subjecting the repackager--regardless of whether he is the importer, the distributor, the retailer, or any other handler of the merchandise--to fine, imprisonment, and seizure and forfeiture of the article. Such a bill was vetoed by President Eisenhower in 1961. A second provision of the bill would require that all sawed lumber and wood products be marked with the country of origin, a provision which specifically violates our long standing trade agreement with Canada.
This bill would raise new barriers to foreign trade and invite retaliation against our exports at a time when we are trying to expand our trade and improve Western unity.
This bill would impose new costs upon our merchants and consumers at a time when we are trying to keep all costs and prices down.
This bill would saddle new and unworkable burdens upon our Bureau of Customs at a time when we are trying to reduce Government expenditures.
This bill would encourage new price increases in lumber and homebuilding at a time when we are trying to expand our housing opportunities.
This bill would aggravate our relations with Canada at a time when we are trying to improve those relations at every level.
There is no need for this bill. The Federal Trade Commission already has authority to require disclosure of the foreign origin of articles offered for sale where there may be danger of deception of the purchaser. The Federal Tariff Commission already has authority to protect domestic industries against serious economic injury resulting from imports. A unanimous Commission decision last February, in fact, found that the facts did not entitle the soft wood lumber industry to such protection.
Approval of this bill, in short, is clearly not in the best interests of all the United States.
LYNDON B. JOHNSON
"
vetoes,Harry S Truman,"August 09, 1949","
To the House of Representatives:
I am returning herewith, without my approval, H.R. 142, amending section 18 of the Act entitled ""An Act to provide for the fifteenth and subsequent decennial censuses and to provide for apportionment of Representatives in Congress.""
The bill provides that no charge shall be made by the Bureau of the Census for supplying population data to members of the armed services or persons honorably discharged therefrom, or to persons requesting information as proof of age for the purpose of eligibility for old-age and survivorship insurance benefits.
The present fee of $1.00 for handling an application for population data has been in effect since July 1942 when it was instituted at the behest of the House Appropriations Committee. At that time the Appropriations Committee was following a policy of placing governmental services of this character on a self-sustaining basis insofar as possible. The original decision was sound, and in consonance with an equally sound policy of bringing about economy in government operations wherever possible.
In my 1948 Budget Message I stated, ""While it is not sound public policy to charge for all services of the Federal Government on a full cost basis, and many services should be provided free, the Government should receive adequate compensation for certain services primarily of direct benefit to limited groups."" I continue to hold this belief, and in this instance there seems to be no justification for abandoning present practice. Approval might well establish a precedent jeopardizing the established principle of charging fees for special services.
The fee charged in this case is nominal. The Government already bears the cost of maintaining the necessary records and the applicant pays only for the direct cost of searching the records and transmitting the information.
It is difficult to estimate the cost to the Government of supplying this information free of charge to the groups designated in the bill. The number of requests might be expected to rise significantly with the elimination of the fee so that the future workload for this operation could be uncertain. However, the Census Bureau estimates that the additional cost would approximate $136,000 annually. Although this is not a large amount, it is an unnecessary expenditure of public funds.
HARRY S. TRUMAN
"
vetoes,Franklin D. Roosevelt,"June 15, 1938","
To the House of Representatives:
I return herewith, without my approval, H.R. 10530, entitled ""An act to extend for two additional years the 3 1/2-per-centum interest rate on certain Federal land-bank loans, and to provide for a 4-per-centum interest rate on Land Bank Commissioner's loans until July 1, 1940.""
Section 1 of the bill extends for two additional years beginning July 1, 1938, the 3 1/2 per cent interest rate on certain federal land bank loans.
Section 2 of the bill extends for approximately one year, that is, from July 22, 1939, to June 30, 1940, the 4 per cent interest rate on Land Bank Commissioner loans.
SECTION I. FEDERAL LAND BANK LOANS
The question presented by the proposed legislation is not whether Federal land bank borrowers will be required during the coming year to pay interest on their Federal land bank loans at the full rates specified in their mortgage contracts; the question is the amount of reduction that will be effected. Since the average contract rate of interest on outstanding Federal land bank loans is approximately 5 per cent, the emergency 4 per cent rate provided for under present law would mean an average interest reduction of 20 per cent to Federal land bank borrowers during the fiscal year 1939. It amounts to an average reduction of approximately 28 per cent in the case of those borrowers whose contract rates of interest exceed 5 per cent. Thus if this bill does not become law there will still be savings to borrowers amounting to from 20 per cent to 28 per cent.
The interest reductions granted to Federal land bank borrowers will have involved upon the expiration of the present provisions of law in July, 1939, a total cost to the Treasury estimated at approximately $143,500,000. If H.R. 10530 becomes law, the total cost to the Treasury to June 30, 1940, is estimated at $183,900,000.
The burden of interest charges on a typical farmer who refinanced his 6 per cent private loan with a Federal land bank in 1933 would appear to be less on the basis of present prices, and the emergency Federal land bank interest rate of 4 per cent provided for under present law less than the burden which was carried by the same farmer on his old loan during the period 1910-14 or during the period 1921-30.
As of March 31, 1938, approximately 86 per cent of all loans of the Federal land banks were in good standing as opposed to approximately 50 per cent delinquency when the emergency legislation was first passed.
SECTION 2. LAND BANK COMMISSIONER LOANS
A reduced rate of interest on Land Bank Commissioner loans was first provided for by the Act of July 22, 1937, which fixed the rate at 4 per cent for a period of two years from the date of its enactment. Under the provisions of H.R. 10530 the emergency 4 per cent rate would be continued from July 22,1939, to June 30, 1940. There would appear to be no substantial reason for establishing at this time a policy with respect to the interest rate on Land Bank Commissioner loans for the period beginning July 22, 1939.
The total cost to the Treasury of interest reductions on Land Bank Commissioner loans to the expiration of the date of the existing Act, July 21, 1939, is estimated at $16,500,000. If the 4 per cent rate is extended to June 30, 1940, an additional expense of $8,300,000 is estimated.
Adding the expense of interest reductions on Land Bank Commissioner loans to the estimated cost of such reductions on Federal land bank loans, the total cost to the Treasury upon the expiration of the provisions of existing law in July, 1939 would approximate $160,000,000. If H.R. 10530 becomes law, the total cost to the Treasury to June 30, 1940, on both Federal land bank and Land Bank Commissioner loans is estimated at $208,700,000.
For all these reasons, I am constrained to withhold my approval of the bill, H.R. 10530.
"
vetoes,Ronald Reagan,"October 26, 1988","
I am withholding my approval of S. 508, the ""Whistleblower Protection Act of 1988."" I regret that the Congress did not present me with constitutional and effective legislation to expand the protections and procedural rights afforded to Federal employees who report fraud, waste, and abuse they discover in Federal programs.
Reporting of mismanagement and violations of the law, often called whistleblowing, contributes to efficient use of taxpayers' dollars and effective government. Such reporting is to be encouraged, and those who make the reports must be protected. At the same time, we must ensure that heads of departments and agencies can manage their personnel effectively. Enactment of S. 508 would have redesigned the whistleblower protection process so that employees who are not genuine whistleblowers could manipulate the process to their advantage simply to delay or avoid appropriate adverse personnel actions.
To ensure that Federal employees who report mismanagement are protected from reprisal, while ensuring that Federal personnel managers are not saddled with routinely defending appropriate decisions they make, I have directed the Attorney General, working with the Director of the Office of Management and Budget and the Director of the Office of Personnel Management, to prepare constitutional and effective whistleblower protection legislation for me to submit at the beginning of the next session of the Congress.
A major objection to S. 508 is its change of the factual showings required of employees in making their cases in whistleblower proceedings. Section 1221(e) of Title 5 of the United States Code, as contained in S. 508, would have interfered substantially with personnel management in Federal departments and agencies. Current law strikes a proper balance between the showings required of employees and agencies in making their cases before the Merit Systems Protection Board. Section 1221(e) would have removed the requirement that employees demonstrate in Merit Systems Protection Board proceedings that whistleblowing by the employee was a substantial factor in the agency's personnel action decision about which the employee complains. Moreover, that Section would have imposed the heavier burden upon the department or agency of proving by clear and convincing evidence—which is a much higher legal standard than proof by a preponderance of the evidence that applies in most civil matters in American courts—that the same decision would have occurred in the absence of any whistleblowing. The substantially reduced factual showing required of the employee and the substantially increased burden on agencies essentially rigs the Board's process against agency personnel managers in favor of employees. The interests of both employees and managers should be fully protected.
The provisions of S. 508 also raised serious constitutional concerns. Section 3 of the bill amends chapter 12 in Title 5 of the United States Code substituting new Sections 1201 through 1222. Section 1211 creates an Office of Special Counsel and purports to insulate the Office from presidential supervision and to limit the power of the President to remove his subordinates from office. Section 1217 purports to prohibit review within the Executive branch of views of the Office of Special Counsel proposed to be transmitted in response to congressional committee requests.
Section 1212(d)(3)(A) of Title 5, as contained in the bill, purports to authorize the Special Counsel to obtain judicial review of most decisions of the Merit Systems Protection Board in proceedings to which the Special Counsel is a party. Implementation of this provision would place two Executive branch agencies before a Federal court to resolve a dispute between them. The litigation of intra-Executive branch disputes conflicts with the constitutional grant of the Executive power to the President, which includes the authority to supervise and resolve disputes between his subordinates. In addition, permitting the Executive branch to litigate against itself conflicts with constitutional limitations on the exercise of the judicial power of the United States to actual cases or controversies between parties with concretely adverse interests.
These provisions could not have been implemented to the extent that they are inconsistent with the President's constitutional authority and duty to faithfully execute the laws, supervise his subordinates in the Executive branch, and recommend such measures to the Congress as he judges necessary and expedient, and Article III requirements for the exercise of the judicial power.
RONALD REAGAN
The White House,
October 26, 1988.
"
